id,path,caption,__raw_response,__error,style,Gen_by,category_category,task
paul-signac_the-velodrome-1899_resize1024,Dataset/Images/paul-signac_the-velodrome-1899_resize1024.jpg,"a city park racetrack with cyclists and a crowd watching near a curved track, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_antibes-the-towers-1911_resize1024,Dataset/Images/paul-signac_antibes-the-towers-1911_resize1024.jpg,"a coastal town with tall buildings on a seawall and small sailboats on the water, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
paul-signac_the-railway-at-bois-colombes-1886_resize1024,Dataset/Images/paul-signac_the-railway-at-bois-colombes-1886_resize1024.jpg,"a sunlit tree-lined street with long shadows and a small building in the distance, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
camille-pissarro_pear-tress-in-bloom-eragny-morning_resize1024,Dataset/Images/camille-pissarro_pear-tress-in-bloom-eragny-morning_resize1024.jpg,"a countryside scene with flowering trees, a wooden fence, and red-roofed houses under a blue sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_rotterdam-harbour-1907_resize1024,Dataset/Images/paul-signac_rotterdam-harbour-1907_resize1024.jpg,"a hazy harbor with sailboats and smokestacks near a bridge, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
bridget-riley_pink-landscape-1960_resize1024,Dataset/Images/bridget-riley_pink-landscape-1960_resize1024.jpg,"a hilly countryside landscape with patchwork fields and a small white farmhouse, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
paul-signac_regatta-in-concarneau-1891_resize1024,Dataset/Images/paul-signac_regatta-in-concarneau-1891_resize1024.jpg,"a fleet of sailboats with red sails on a choppy sea under a cloudy sky, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_the-bridge-at-courbevoie-1887_resize1024,Dataset/Images/georges-seurat_the-bridge-at-courbevoie-1887_resize1024.jpg,"a quiet riverside harbor with sailboats and a grassy bank with a few figures, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_ponte-san-trovaso-1905_resize1024,Dataset/Images/henri-edmond-cross_ponte-san-trovaso-1905_resize1024.jpg,"a tree-lined canal with small boats and a stone bridge in a village, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-edmond-cross_the-blue-boat_resize1024,Dataset/Images/henri-edmond-cross_the-blue-boat_resize1024.jpg,"a harbor with a docked sailboat and hills behind a coastal town, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
georges-seurat_model-to-front-1887_resize1024,Dataset/Images/georges-seurat_model-to-front-1887_resize1024.jpg,,,"mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""8f96fd9a-237b-11f1-9aab-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-59F36cEOyV23ei-260319180822325'}""} | mllm_error: {""error_type"": ""api_code"", ""message"": ""Andes gateway returned non-zero code"", ""record_id"": ""5b254da4-237c-11f1-b51f-0202160272ed"", ""http_status"": null, ""api_code"": -30002, ""api_msg"": ""Your input image may contain content that is not allowed by our content safety system."", ""response_text"": ""{'code': -30002, 'msg': 'Your input image may contain content that is not allowed by our content safety system.', 'recordId': 'andes-5W9vKVenkp68bx-260319181403831'}""} | missing_caption: col=caption",Pointillism,WikiArt,,
giacomo-balla_bankruptcy-1902_resize1024,Dataset/Images/giacomo-balla_bankruptcy-1902_resize1024.jpg,"a dark wooden double door with chalk graffiti on a stone building facade, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
paul-signac_river-s-edge-the-siene-at-herblay-1889_resize1024,Dataset/Images/paul-signac_river-s-edge-the-siene-at-herblay-1889_resize1024.jpg,"a calm river through a town with tree-lined banks and distant buildings, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
theo-van-rysselberghe_levant-isle_resize1024,Dataset/Images/theo-van-rysselberghe_levant-isle_resize1024.jpg,"a coastal cliff with a small gazebo and trees overlooking the sea, pointillism painting","{""category"":""landscape""}",,Pointillism,WikiArt,landscape,category_classify
henri-martin_the-child-with-goose_resize1024,Dataset/Images/henri-martin_the-child-with-goose_resize1024.jpg,"a stone cherub statue in a lush flower garden, pointillism painting","{""category"":""still_life""}",,Pointillism,WikiArt,still_life,category_classify
theo-van-rysselberghe_the-door-of-monsour-hay-in-meknes-morocco-1887_resize1024,Dataset/Images/theo-van-rysselberghe_the-door-of-monsour-hay-in-meknes-morocco-1887_resize1024.jpg,"a sunlit view of an ancient stone gate and city walls above a rocky path, pointillism painting","{""category"":""architecture""}",,Pointillism,WikiArt,architecture,category_classify
paul-signac_the-demolisher-1899_resize1024,Dataset/Images/paul-signac_the-demolisher-1899_resize1024.jpg,"a shirtless construction worker swinging a pickaxe at a building site with another worker in the background, pointillism painting","{""category"":""portrait""}",,Pointillism,WikiArt,portrait,category_classify
